close_yf,Date
17618.69921875,2021-09-07
17626.19921875,2021-09-08
17652.900390625,2021-09-09
17648.599609375,2021-09-13
17678.44921875,2021-09-14
17809.5,2021-09-15
17925.05078125,2021-09-16
17864.55078125,2021-09-17
17654.099609375,2021-09-20
17817.94921875,2021-09-21
17817.69921875,2021-09-22
18085.80078125,2021-09-23
18090.19921875,2021-09-24
18085.55078125,2021-09-27
17973.150390625,2021-09-28
17926.05078125,2021-09-29
17845.099609375,2021-09-30
17778.55078125,2021-10-01
17956.75,2021-10-04
18082.80078125,2021-10-05
17905.849609375,2021-10-06
18058.0,2021-10-07
18141.69921875,2021-10-08
18198.900390625,2021-10-11
18258.849609375,2021-10-12
18433.19921875,2021-10-13
18610.349609375,2021-10-14
18734.900390625,2021-10-18
18646.150390625,2021-10-19
18467.75,2021-10-20
18374.099609375,2021-10-21
18285.150390625,2021-10-22
18272.400390625,2021-10-25
18425.150390625,2021-10-26
18390.05078125,2021-10-27
18028.099609375,2021-10-28
17880.80078125,2021-10-29
18134.599609375,2021-11-01
18101.0,2021-11-02
18066.94921875,2021-11-03
18156.150390625,2021-11-04
18320.650390625,2021-11-08
18309.05078125,2021-11-09
18291.75,2021-11-10
18156.80078125,2021-11-11
18389.5,2021-11-12
18401.650390625,2021-11-15
18301.44921875,2021-11-16
18211.349609375,2021-11-17
18059.5,2021-11-18
17708.55078125,2021-11-22
17823.5,2021-11-23
17733.0,2021-11-24
17861.650390625,2021-11-25
17340.5,2021-11-26
17339.150390625,2021-11-29
17270.25,2021-11-30
17444.44921875,2021-12-01
17675.0,2021-12-02
17493.69921875,2021-12-03
17197.5,2021-12-06
17464.94921875,2021-12-07
17751.900390625,2021-12-08
17797.80078125,2021-12-09
17802.599609375,2021-12-10
17664.849609375,2021-12-13
17637.69921875,2021-12-14
17526.349609375,2021-12-15
17539.30078125,2021-12-16
17249.0,2021-12-17
16856.19921875,2021-12-20
17037.75,2021-12-21
17232.80078125,2021-12-22
17360.650390625,2021-12-23
17273.650390625,2021-12-24
17351.80078125,2021-12-27
17501.75,2021-12-28
17478.80078125,2021-12-29
17449.30078125,2021-12-30
17618.80078125,2021-12-31
17874.0,2022-01-03
18030.94921875,2022-01-04
18147.5,2022-01-05
17985.599609375,2022-01-06
18053.94921875,2022-01-07
18229.099609375,2022-01-10
18275.150390625,2022-01-11
18430.25,2022-01-12
18482.44921875,2022-01-13
18485.69921875,2022-01-14
18543.19921875,2022-01-17
18331.69921875,2022-01-18
18179.69921875,2022-01-19
18021.099609375,2022-01-20
17856.150390625,2022-01-21
17353.44921875,2022-01-24
17489.150390625,2022-01-25
17302.349609375,2022-01-27
17314.69921875,2022-01-28
17547.400390625,2022-01-31
17796.25,2022-02-01
17998.75,2022-02-02
17794.69921875,2022-02-03
17755.30078125,2022-02-04
17477.650390625,2022-02-07
17509.80078125,2022-02-08
17707.849609375,2022-02-09
17842.900390625,2022-02-10
17606.599609375,2022-02-11
17060.69921875,2022-02-14
17560.55078125,2022-02-15
17530.650390625,2022-02-16
17524.44921875,2022-02-17
17472.900390625,2022-02-18
17379.099609375,2022-02-21
17276.5,2022-02-22
17273.44921875,2022-02-23
16428.05078125,2022-02-24
16872.349609375,2022-02-25
17016.55078125,2022-02-28
16855.69921875,2022-03-02
16761.599609375,2022-03-03
16482.849609375,2022-03-04
16086.9501953125,2022-03-07
16251.650390625,2022-03-08
16571.55078125,2022-03-09
16835.5,2022-03-10
16877.69921875,2022-03-11
17076.599609375,2022-03-14
16873.44921875,2022-03-15
17198.0,2022-03-16
17505.400390625,2022-03-17
17323.650390625,2022-03-21
17499.19921875,2022-03-22
17446.05078125,2022-03-23
17429.94921875,2022-03-24
17370.5,2022-03-25
17422.150390625,2022-03-28
17523.599609375,2022-03-29
17684.30078125,2022-03-30
17660.349609375,2022-03-31
17879.5,2022-04-01
18256.099609375,2022-04-04
18195.099609375,2022-04-05
18075.099609375,2022-04-06
17920.80078125,2022-04-07
18089.30078125,2022-04-08
18032.400390625,2022-04-11
17877.55078125,2022-04-12
17835.19921875,2022-04-13
17565.94921875,2022-04-18
17330.400390625,2022-04-19
17496.650390625,2022-04-20
17750.19921875,2022-04-21
17541.099609375,2022-04-22
17300.349609375,2022-04-25
17577.80078125,2022-04-26
17398.55078125,2022-04-27
17615.400390625,2022-04-28
17457.19921875,2022-04-29
17419.44921875,2022-05-02
17004.05078125,2022-05-04
17016.599609375,2022-05-05
16729.55078125,2022-05-06
16581.80078125,2022-05-09
16466.25,2022-05-10
16399.69921875,2022-05-11
16023.900390625,2022-05-12
15986.5,2022-05-13
16079.0,2022-05-16
16498.5,2022-05-17
16485.80078125,2022-05-18
16047.349609375,2022-05-19
16476.69921875,2022-05-20
16409.75,2022-05-23
16312.2998046875,2022-05-24
16187.150390625,2022-05-25
16341.900390625,2022-05-26
16516.80078125,2022-05-27
16838.150390625,2022-05-30
16767.5,2022-05-31
16688.94921875,2022-06-01
16794.75,2022-06-02
16721.5,2022-06-03
16701.19921875,2022-06-06
16550.69921875,2022-06-07
16492.19921875,2022-06-08
16616.400390625,2022-06-09
16353.5,2022-06-10
15936.0498046875,2022-06-13
15905.599609375,2022-06-14
15874.900390625,2022-06-15
15543.349609375,2022-06-16
15445.7998046875,2022-06-17
15481.9501953125,2022-06-20
15793.150390625,2022-06-21
15555.2998046875,2022-06-22
15704.7998046875,2022-06-23
15858.2998046875,2022-06-24
15990.2998046875,2022-06-27
