date,nav
04-07-2014,7720.30
03-07-2014,7686.35
02-07-2014,7699.05
01-07-2014,7599.30
30-06-2014,7571.00
27-06-2014,7461.65
26-06-2014,7443.95
25-06-2014,7513.50
24-06-2014,7523.40
23-06-2014,7435.75
20-06-2014,7446.80
19-06-2014,7474.75
18-06-2014,7497.75
17-06-2014,7568.10
16-06-2014,7469.30
13-06-2014,7474.40
12-06-2014,7596.45
11-06-2014,7578.00
10-06-2014,7618.90
09-06-2014,7622.80
06-06-2014,7554.80
05-06-2014,7440.30
04-06-2014,7363.50
03-06-2014,7365.85
02-06-2014,7311.35
30-05-2014,7181.30
29-05-2014,7182.90
28-05-2014,7275.20
27-05-2014,7259.80
26-05-2014,7308.75
23-05-2014,7334.90
22-05-2014,7239.25
21-05-2014,7201.95
20-05-2014,7221.00
19-05-2014,7208.25
16-05-2014,7115.40
15-05-2014,7024.05
14-05-2014,7017.15
13-05-2014,6999.45
12-05-2014,6898.70
09-05-2014,6756.10
08-05-2014,6566.50
07-05-2014,6561.95
06-05-2014,6621.20
05-05-2014,6605.35
02-05-2014,6602.00
30-04-2014,6598.55
29-04-2014,6626.80
28-04-2014,6674.90
25-04-2014,6691.60
23-04-2014,6737.20
22-04-2014,6715.85
21-04-2014,6716.10
17-04-2014,6673.65
16-04-2014,6572.80
15-04-2014,6628.75
11-04-2014,6681.85
10-04-2014,6703.45
09-04-2014,6691.90
07-04-2014,6591.10
04-04-2014,6589.95
03-04-2014,6625.05
02-04-2014,6646.35
01-04-2014,6608.15
31-03-2014,6597.05
28-03-2014,6578.30
27-03-2014,6513.30
26-03-2014,6474.45
25-03-2014,6463.60
24-03-2014,6453.65
22-03-2014,6376.20
21-03-2014,6370.00
20-03-2014,6356.25
19-03-2014,6397.80
18-03-2014,6387.25
14-03-2014,6362.30
13-03-2014,6351.45
12-03-2014,6377.50
11-03-2014,6372.70
10-03-2014,6402.00
07-03-2014,6388.10
06-03-2014,6273.85
05-03-2014,6202.50
04-03-2014,6171.60
03-03-2014,6099.05
28-02-2014,6146.30
26-02-2014,6103.65
25-02-2014,6072.30
24-02-2014,6059.10
21-02-2014,6034.00
20-02-2014,5974.00
19-02-2014,6027.55
18-02-2014,6002.50
17-02-2014,5949.50
14-02-2014,5928.35
13-02-2014,5887.45
12-02-2014,5969.55
11-02-2014,5953.25
10-02-2014,5945.25
07-02-2014,5958.25
06-02-2014,5934.35
05-02-2014,5919.20
04-02-2014,5896.35
03-02-2014,5893.50
31-01-2014,5976.00
30-01-2014,5943.00
29-01-2014,5999.20
28-01-2014,5999.10
27-01-2014,6008.45
24-01-2014,6144.55
23-01-2014,6226.05
22-01-2014,6222.65
21-01-2014,6199.85
20-01-2014,6190.65
17-01-2014,6145.35
16-01-2014,6204.55
15-01-2014,6215.35
14-01-2014,6145.65
13-01-2014,6171.25
10-01-2014,6087.75
09-01-2014,6087.75
08-01-2014,6100.90
07-01-2014,6087.95
06-01-2014,6122.00
03-01-2014,6136.85
02-01-2014,6140.25
01-01-2014,6227.55
31-12-2013,6225.45
30-12-2013,6210.75
27-12-2013,6231.35
26-12-2013,6194.45
24-12-2013,6183.40
23-12-2013,6195.30
20-12-2013,6181.50
19-12-2013,6077.95
